央视频道,#genre#
CCTV-1 综合,https://stream1.freetv.fun/7023ae1da27c7799514bda8b2a8e37c22585283bf7ce68fcc19e1ce9fc42f0d8.ctv
CCTV-1 综合,https://stream1.freetv.fun/897b65a4585a5ff67c3c98cb4aa781cd210532066e48b910812f70b1205a8638.m3u8
CCTV-1 综合,http://36.135.118.195:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1 综合,http://144.255.32.94:8288/udp/239.21.1.120:5002
CCTV-1 综合,http://113.119.26.198:58888/udp/239.77.1.144:5146
CCTV-1 综合,http://222.218.122.56:8188/udp/239.81.0.102:4056
CCTV-2 财经,https://stream1.freetv.fun/86ea853927d00105bdaba4ee6b40693c6965c2e3f732744c9e4510bff7233c0e.ctv
CCTV-2 财经,http://36.135.118.195:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://223.167.230.34:4022/rtp/239.45.3.208:5140
CCTV-2 财经,http://144.255.32.94:8288/udp/239.21.1.151:5002
CCTV-2 财经,http://112.109.206.113:9999/rtp/239.255.40.36:8208
CCTV-3 综艺,https://stream1.freetv.fun/33d61962b96ee868195414f4d2404a9364f9758b2a2f57315475de3cdcf96552.ctv
CCTV-3 综艺,http://36.135.118.195:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3 综艺,http://113.119.26.198:58888/udp/239.77.0.169:5146
CCTV-3 综艺,http://222.218.122.56:8188/udp/239.81.0.231:4056
CCTV-3 综艺,http://112.109.206.113:9999/rtp/239.255.40.195:8208
CCTV-4 中文国际,https://stream1.freetv.fun/1c7fda19483ca875141c96b86496b3ff5cdec5aebfba11bce0b53615c9b8d3ee.ctv
CCTV-4 中文国际,http://36.135.118.195:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际,http://223.167.230.34:4022/rtp/239.45.0.2:5140
CCTV-4 中文国际,http://144.255.31.115:6688/udp/239.21.1.154:5002
CCTV-4 中文国际,http://144.255.32.94:8288/udp/239.21.1.154:5002
CCTV-4 中文国际,http://113.119.26.198:58888/udp/239.77.1.163:5146
CCTV-4 中文国际,http://222.218.122.56:8188/udp/239.81.0.96:4056
CCTV-5 体育,http://36.135.118.195:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5 体育,https://stream1.freetv.fun/5c16c8c12828b64b2d477b436309d6af8208990ff623747dda525d3d5ab25905.m3u8
CCTV-5 体育,http://183.220.107.138:4022/rtp/239.11.0.100:5140
CCTV-5 体育,http://59.173.120.39:4022/rtp/239.69.1.123:10376
CCTV-5 体育,http://144.255.32.94:8288/udp/239.21.2.46:5002
CCTV-5 体育,http://113.119.26.198:58888/udp/239.77.0.170:5146
CCTV-5 体育,http://222.218.122.56:8188/udp/239.81.0.232:4056
CCTV-5 体育,http://112.109.206.113:9999/rtp/239.255.40.196:8208
CCTV-5 体育,http://121.29.141.15:4022/rtp/239.253.92.181:6046
CCTV-5+ 体育赛事,http://36.135.118.195:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+ 体育赛事,https://stream1.freetv.fun/46118cd0438ddbb2d6f349706132ced2104495cf4cf1019ef84d89465e048ca6.ctv
CCTV-5+ 体育赛事,http://59.173.120.39:4022/rtp/239.254.96.234:9484
CCTV-5+ 体育赛事,http://144.255.32.94:8288/udp/239.21.1.142:5002
CCTV-5+ 体育赛事,http://113.119.26.198:58888/udp/239.77.0.87:5146
CCTV-5+ 体育赛事,http://222.218.122.56:8188/udp/239.81.0.101:4056
CCTV-5+ 体育赛事,http://112.109.206.113:9999/rtp/239.255.40.34:8208
CCTV-5+ 体育赛事,http://121.29.141.15:4022/rtp/239.253.92.82:8013
CCTV-6 电影,https://stream1.freetv.fun/a4e41598a9e6e9ccb0fef0829b531ff342076d0c20b76f24de7c71d2f45bc187.ctv
CCTV-6 电影,http://36.135.118.195:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6 电影,http://183.220.107.138:4022/rtp/239.11.0.102:5140
CCTV-6 电影,http://113.106.171.234:8899/rtp/239.20.0.29:3288
CCTV-6 电影,http://223.167.230.34:4022/rtp/239.45.1.70:5140
CCTV-6 电影,http://59.173.120.39:4022/rtp/239.69.1.124:10382
CCTV-6 电影,http://144.255.32.94:8288/udp/239.21.2.47:5002
CCTV-6 电影,http://113.119.26.198:58888/udp/239.77.0.171:5146
CCTV-6 电影,http://222.218.122.56:8188/udp/239.81.0.233:4056
CCTV-6 电影,http://112.109.206.113:9999/rtp/239.255.40.175:8208
CCTV-6 电影,http://121.29.141.15:4022/rtp/239.253.92.193:6058
CCTV-7 国防军事,https://stream1.freetv.fun/46cdecd8109f40da764a8cf88dd9276656a3c488fd78e7e8adb4e49fd72fb5db.ctv
CCTV-7 国防军事,http://36.135.118.195:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7 国防军事,http://183.220.107.138:4022/rtp/239.11.0.110:5140
CCTV-7 国防军事,http://113.106.171.234:8899/rtp/239.20.0.198:2194
CCTV-7 国防军事,http://115.171.216.92:4000/rtp/225.1.8.7:8104
CCTV-7 国防军事,http://59.173.120.39:4022/rtp/239.69.1.103:10256
CCTV-7 国防军事,http://113.119.26.198:58888/udp/239.77.0.138:5146
CCTV-7 国防军事,http://222.218.122.56:8188/udp/239.81.0.116:4056
CCTV-7 国防军事,http://112.109.206.113:9999/rtp/239.255.40.37:8208
CCTV-7 国防军事,http://121.29.141.15:4022/rtp/239.253.92.194:6059
CCTV-8 电视剧,https://stream1.freetv.fun/0db78e4797bdf9ffeea29147b1ba339453496b0a1eb1bace03ccef844ea6cfd2.ctv
CCTV-8 电视剧,http://36.135.118.195:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8 电视剧,http://183.220.107.138:4022/rtp/239.11.0.103:5140
CCTV-8 电视剧,http://113.106.171.234:8899/rtp/239.20.0.31:3280
CCTV-8 电视剧,http://59.173.120.39:4022/rtp/239.69.1.125:10388
CCTV-8 电视剧,http://113.119.26.198:58888/udp/239.77.0.172:5146
CCTV-8 电视剧,http://222.218.122.56:8188/udp/239.81.0.234:4056
CCTV-8 电视剧,http://112.109.206.113:9999/rtp/239.255.40.197:8208
CCTV-8 电视剧,http://121.29.141.15:4022/rtp/239.253.92.195:6060
CCTV-9 纪录,https://stream1.freetv.fun/c93c7b1862998282a573aa63a12390c50becc03a1ffadf41a5fcb5afb8da1526.ctv
